"z [km]" A B C D E
86.0 0.0 2.159582e-06 -0.0004836957 -0.1425192 13.4753
91.0 0.0 3.304895e-05 -0.00906273 0.6516698 -11.03037
100.0 0.0 6.693926e-05 -0.01945388 1.71908 -47.7503
110.0 0.0 -6.539316e-05 0.02485568 -3.22362 135.9355
120.0 2.283506e-07 -0.0001343221 0.02999016 -3.055446 113.5764
150.0 1.209434e-08 -9.692458e-06 0.003002041 -0.4523015 19.19151
200.0 8.113942e-10 -9.822568e-07 0.0004687616 -0.123171 3.067409
300.0 9.814674e-11 -1.654439e-07 0.0001148115 -0.05431334 -2.011365
500.0 -7.835161e-11 1.964589e-07 -0.0001657213 0.04305869 -14.77132
750.0 2.813255e-11 -1.120689e-07 0.0001695568 -0.1188941 14.56718
1000.0 2.813255e-11 -1.120689e-07 0.0001695568 -0.1188941 14.56718
