"z [km]" A B C D E
86.0 0.0 -3.322622e-06 0.000911146 -0.2609971 5.944694
91.0 0.0 2.873405e-05 -0.008492037 0.6541179 -23.6201
100.0 -1.240774e-05 0.005162063 -0.8048342 55.55996 -1443.338
110.0 0.0 -8.854164e-05 0.03373254 -4.390837 176.5294
120.0 3.661771e-07 -0.0002154344 0.04809214 -4.884744 172.3597
150.0 1.906032e-08 -1.527799e-05 0.004724294 -0.699234 20.50921
200.0 1.199282e-09 -1.451051e-06 0.0006910474 -0.173622 -5.321644
300.0 1.140564e-10 -2.130756e-07 0.0001570762 -0.07029296 -12.89844
500.0 8.105631e-12 -2.358417e-09 -2.63511e-06 -0.01562608 -20.02246
750.0 -3.701195e-12 -8.608611e-09 5.118829e-05 -0.06600998 -6.137674
1000.0 -3.701195e-12 -8.608611e-09 5.118829e-05 -0.06600998 -6.137674
