b "Zb [km]" "Hb [km]" "Tb [K]" "Lb [K/km]" "pb [mbar]"
0   0.0       0.0     288.15     -6.5     1013.25
1  11.019    11.0     216.65      0.0      226.32
2  20.063    20.0     216.65      1.0       54.748
3  32.162    32.0     228.65      2.8        8.6801
4  47.350    47.0     270.65      0.0        1.109
5  51.413    51.0     270.65     -2.8        0.66938
6  71.802    71.0     214.65     -2.0        0.039564
7  86.0     84.852    186.95      0.0        0.0037338
8  91.0     89.716    187.36      0.0        0.0015381
9  110.0    108.129   254.93     12.0        7.1042e-05
10 120.0    117.777   397.91      0.0        2.5382e-05
11 500.0    463.340  2019.69      0.0        3.0236e-09
12 1000.0   864.071  7351.15      0.0        7.5138e-11
